child_id,episode_number,start_date,end_date,placed_with_relative_this_rem_ep,county_of_initial_removal,n_contacts_in_rem_ep,n_visits_in_rem_ep
10000013411,1,2008-04-18,2009-09-10,t,Jackson,0,2
10000013512,1,2009-07-13,2009-09-04,t,Knox,0,0
10000013600,1,2009-05-23,,,Lake,,
10000013642,1,2010-09-20,2012-02-01,f,Bartholomew,0,18
10000013692,1,1999-11-09,,,Lake,,
10000013720,1,2010-08-11,2010-12-21,t,Jennings,0,3
10000013737,1,2011-05-02,2011-05-26,f,Jay,0,3
10000013737,2,2011-06-15,,,Jay,,
10000013739,1,2010-12-10,,,Marion,,
10000013760,1,2011-06-09,,,Delaware,,
10000013784,1,2008-05-19,2011-08-08,t,Jackson,0,4
10000013953,1,2005-10-18,2009-10-08,f,DeKalb,0,22
10000013997,1,2006-03-08,2010-10-07,f,Vigo,0,3
10000014087,1,2010-08-11,2011-02-07,t,Jennings,0,11
10000014087,2,2011-04-12,2012-04-17,t,Jackson,0,2
10000014270,1,2011-05-02,2011-05-26,f,Jay,0,3
10000014270,2,2011-06-15,,,Jay,,
10000014395,1,2004-03-10,2010-05-27,t,Clark,0,1
10000014664,1,2007-10-07,2008-04-25,f,Union,0,8
10000014782,1,2008-12-08,2009-02-11,f,Lake,0,0
10000014785,1,2006-08-24,2009-03-05,t,Marion,0,2
10000014999,1,2007-03-28,2010-01-27,t,Clark,0,0
10000015044,1,2006-12-08,2011-07-11,t,Lake,0,0
10000015094,1,2009-05-08,2009-09-08,f,Pike,0,2
10000015094,2,2010-02-16,2011-01-13,f,Pike,0,3
10000015184,1,2009-08-18,2010-12-20,t,Parke,0,20
10000015228,1,2010-03-11,,,Lake,,
10000015264,1,2008-06-25,2011-04-26,t,Wabash,0,0
10000015285,1,2009-07-15,2009-12-23,t,Wabash,0,1
10000015312,1,2005-04-18,2009-11-20,f,Lake,0,1
10000015355,1,2007-10-11,2009-06-04,f,Vermillion,0,10
10000015367,1,2005-04-05,,,Lake,,
10000015484,1,2008-04-15,2012-02-10,f,Clark,0,5
10000015632,1,2002-08-05,,,Jefferson,,
10000015633,1,2009-12-07,2011-02-14,f,Marion,0,6
10000015647,1,2010-07-23,,,Lake,,
10000015735,1,2011-10-25,2012-04-17,t,Vanderburgh,0,3
10000015954,1,2012-08-09,,,Delaware,,
10000015959,1,2008-01-11,2008-02-12,t,Montgomery,0,0
10000016052,1,2005-04-05,,,Lake,,
10000016156,1,2010-10-05,2011-06-10,f,Lake,0,6
10000016185,1,2006-08-17,2008-02-27,f,Henry,0,6
10000016185,2,2011-04-15,,,Rush,,
10000016380,1,2011-11-09,,,Monroe,,
10000016488,1,2009-11-10,2010-03-01,f,Howard,0,0
10000016499,1,2004-09-13,,,Fountain,,
10000016504,1,2008-12-30,2009-10-30,t,LaGrange,0,11
10000016625,1,2007-07-11,2008-06-10,f,Henry,0,5
10000016752,1,2011-05-18,2011-07-05,t,,0,4
10000016815,1,1995-04-15,2008-07-30,f,Lake,0,0
10000016889,1,2011-06-11,,,Marion,,
10000016919,1,2010-06-27,2010-08-24,t,,0,0
10000016969,1,2010-05-17,2011-05-13,t,Daviess,0,7
10000017062,1,2009-10-20,2010-04-08,f,Putnam,0,0
10000017085,2,2010-03-15,2011-08-08,t,Jay,0,0
10000017085,3,2012-05-09,2012-06-07,f,Wayne,0,0
10000017151,1,2002-06-25,2011-01-21,t,Henry,0,50
10000017166,1,2007-11-14,2008-10-10,t,Decatur,0,12
10000017166,2,2011-08-03,,,Wayne,,
10000017239,1,1998-07-08,2008-05-31,f,Boone,0,1
10000017255,1,2012-04-27,,,Marion,,
10000017295,1,2008-11-19,2009-04-29,f,Hamilton,0,0
10000017317,1,2009-01-16,2009-10-19,f,Madison,0,12
10000017317,2,2011-06-20,2011-06-30,t,Delaware,0,0
10000017318,1,2009-07-17,2011-10-06,t,Allen,0,0
